from,to,support,confidence,lift,count
"Retail, Hospitality & Events",Supply Chain & Logistics,0.007,0.0613,0.7742,5702
Human Resources & Recruitment,Customer Service & Support,2e-04,0.01,0.7721,201
Customer Service & Support,Finance & Accounting,2e-04,0.0176,0.7718,180
Customer Service & Support,Supply Chain & Logistics,8e-04,0.0611,0.771,623
Supply Chain & Logistics,"Retail, Hospitality & Events",0.0061,0.0794,0.7708,4956
Operations & General Management,Sales & Business Development,0.0067,0.0218,0.7701,5488
Data Science & Analytics,Construction & Architecture,0,0.0184,0.7691,27
Education - Teaching,Cybersecurity & Compliance,4e-04,0.004,0.7691,323
Software & IT Development,Cybersecurity & Compliance,0,0.004,0.7682,34
Project & Programme Management,Customer Service & Support,2e-04,0.0099,0.7664,128
"Environment, Safety & Sustainability",Operations & General Management,0.0037,0.2324,0.7631,3003
Sales & Business Development,"Retail, Hospitality & Events",0.002,0.0786,0.7631,1598
Healthcare - Clinical,Legal & Compliance,0,0.0037,0.7625,18
Human Resources & Recruitment,IT Infrastructure & Networks,1e-04,0.0025,0.7612,51
Supply Chain & Logistics,IT Infrastructure & Networks,2e-04,0.0025,0.7599,158
"Environment, Safety & Sustainability",Senior Management & C-Suite,0,5e-04,0.7585,6
Finance & Accounting,Operations & General Management,0.0049,0.231,0.7584,4037
Human Resources & Recruitment,Operations & General Management,0.0057,0.2303,0.7562,4632
Supply Chain & Logistics,ICT Management & Consulting,5e-04,0.0065,0.7561,408
"Environment, Safety & Sustainability",Human Resources & Recruitment,3e-04,0.0202,0.7549,261
Healthcare - Clinical,Public Sector & Administration,1e-04,0.0227,0.7534,109
Supply Chain & Logistics,Customer Service & Support,7e-04,0.0097,0.7525,608
"Retail, Hospitality & Events","Environment, Safety & Sustainability",0.0014,0.0124,0.751,1155
Senior Management & C-Suite,"Environment, Safety & Sustainability",0,0.0124,0.7502,5
Social Work & Community Services,ICT Management & Consulting,0,0.0065,0.7485,36
ICT Management & Consulting,Legal & Compliance,0,0.0037,0.7485,24
Finance & Accounting,ICT Management & Consulting,1e-04,0.0065,0.7478,113
ICT Management & Consulting,Research & Academia,0,0.0035,0.7478,23
Public Sector & Administration,Software & IT Development,2e-04,0.0082,0.7475,200
Research & Academia,Sales & Business Development,1e-04,0.0212,0.7468,82
Customer Service & Support,Cybersecurity & Compliance,0,0.0039,0.7452,40
Data Science & Analytics,Operations & General Management,4e-04,0.2266,0.7441,332
Education - Teaching,Public Sector & Administration,0.0022,0.0223,0.7424,1784
Engineering & Manufacturing,Operations & General Management,0.0219,0.2261,0.7422,17877
"Environment, Safety & Sustainability","Retail, Hospitality & Events",0.0012,0.0764,0.7415,987
Project & Programme Management,Education - Teaching,0.0012,0.0736,0.7394,949
Education - Teaching,"Environment, Safety & Sustainability",0.0012,0.0122,0.7378,974
"Retail, Hospitality & Events",Senior Management & C-Suite,1e-04,5e-04,0.7377,42
Operations & General Management,Data Science & Analytics,5e-04,0.0015,0.7361,377
Legal & Compliance,IT Infrastructure & Networks,0,0.0025,0.7357,9
Sales & Business Development,Operations & General Management,0.0056,0.2241,0.7357,4555
Healthcare - Nursing & Allied,"Creative, Media & Design",5e-04,0.0132,0.7316,439
"Retail, Hospitality & Events",Marketing & Communications,0.0015,0.0132,0.7316,1226
Cybersecurity & Compliance,Operations & General Management,0.0011,0.2227,0.7312,877
"Environment, Safety & Sustainability",Marketing & Communications,2e-04,0.0131,0.7259,169
Education - Teaching,Data Science & Analytics,1e-04,0.0015,0.7256,118
Legal & Compliance,ICT Management & Consulting,0,0.0063,0.7245,23
Public Sector & Administration,Sales & Business Development,6e-04,0.0205,0.7232,502
Engineering & Manufacturing,ICT Management & Consulting,6e-04,0.0062,0.7196,492
"Creative, Media & Design",Cybersecurity & Compliance,1e-04,0.0038,0.7179,65
Operations & General Management,Engineering & Manufacturing,0.0204,0.0663,0.7161,16664
Supply Chain & Logistics,"Banking, Finance & Insurance",5e-04,0.0067,0.7156,420
Healthcare - Clinical,Customer Service & Support,1e-04,0.0092,0.7072,44
Software & IT Development,Public Sector & Administration,2e-04,0.0213,0.7068,179
Supply Chain & Logistics,Legal & Compliance,3e-04,0.0035,0.7045,216
Public Sector & Administration,"Retail, Hospitality & Events",0.0022,0.0723,0.7022,1771
"Retail, Hospitality & Events","Banking, Finance & Insurance",8e-04,0.0066,0.7009,613
Education - Teaching,Human Resources & Recruitment,0.0018,0.0187,0.7003,1496
Marketing & Communications,"Retail, Hospitality & Events",0.0012,0.0721,0.7002,981
Marketing & Communications,Cybersecurity & Compliance,1e-04,0.0037,0.6988,50
Education - Teaching,Project & Programme Management,0.0012,0.0121,0.6874,969
Public Sector & Administration,Education - Teaching,0.002,0.0682,0.6852,1669
Marketing & Communications,"Environment, Safety & Sustainability",2e-04,0.0113,0.6847,154
Software & IT Development,Human Resources & Recruitment,2e-04,0.0183,0.6841,154
ICT Management & Consulting,Operations & General Management,0.0017,0.2082,0.6835,1359
"Retail, Hospitality & Events",Cybersecurity & Compliance,4e-04,0.0036,0.6826,334
"Environment, Safety & Sustainability",Education - Teaching,0.0011,0.0679,0.6822,877
Human Resources & Recruitment,Education - Teaching,0.0017,0.0678,0.6817,1364
Data Science & Analytics,Education - Teaching,1e-04,0.0676,0.6793,99
Sales & Business Development,Research & Academia,1e-04,0.0032,0.6787,65
Research & Academia,Public Sector & Administration,1e-04,0.0204,0.6776,79
Public Sector & Administration,Research & Academia,1e-04,0.0032,0.6762,78
"Banking, Finance & Insurance",Supply Chain & Logistics,5e-04,0.0535,0.676,400
Supply Chain & Logistics,"Environment, Safety & Sustainability",9e-04,0.0111,0.6733,695
Cybersecurity & Compliance,"Retail, Hospitality & Events",3e-04,0.0691,0.6705,272
Finance & Accounting,Marketing & Communications,3e-04,0.0121,0.67,211
Construction & Architecture,"Creative, Media & Design",3e-04,0.0121,0.6682,241
Data Science & Analytics,Supply Chain & Logistics,1e-04,0.0526,0.6637,77
ICT Management & Consulting,Finance & Accounting,1e-04,0.0152,0.6635,99
ICT Management & Consulting,Supply Chain & Logistics,4e-04,0.0525,0.6635,343
"Environment, Safety & Sustainability",Legal & Compliance,1e-04,0.0033,0.6617,42
Construction & Architecture,Operations & General Management,0.0049,0.2012,0.6607,4012
Customer Service & Support,Healthcare - Clinical,1e-04,0.0041,0.6558,42
Human Resources & Recruitment,ICT Management & Consulting,1e-04,0.0057,0.6557,114
Supply Chain & Logistics,Human Resources & Recruitment,0.0013,0.0175,0.6556,1095
Construction & Architecture,Senior Management & C-Suite,0,4e-04,0.6554,8
Supply Chain & Logistics,Senior Management & C-Suite,0,4e-04,0.6543,25
Finance & Accounting,Customer Service & Support,2e-04,0.0085,0.6541,148
"Banking, Finance & Insurance","Retail, Hospitality & Events",6e-04,0.0672,0.6522,502
Operations & General Management,Construction & Architecture,0.0048,0.0156,0.6509,3921
Operations & General Management,Healthcare - Nursing & Allied,0.0085,0.0275,0.6494,6914
Human Resources & Recruitment,Supply Chain & Logistics,0.0013,0.0513,0.6474,1031
Operations & General Management,ICT Management & Consulting,0.0017,0.0056,0.647,1406
Operations & General Management,Social Work & Community Services,0.0015,0.0048,0.6463,1205
"Retail, Hospitality & Events",Healthcare - Nursing & Allied,0.0031,0.0273,0.6451,2541
"Retail, Hospitality & Events",Project & Programme Management,0.0013,0.0114,0.6442,1058
Education - Teaching,Legal & Compliance,3e-04,0.0032,0.6427,252
IT Infrastructure & Networks,Human Resources & Recruitment,1e-04,0.0172,0.6423,44
Project & Programme Management,Finance & Accounting,2e-04,0.0147,0.6409,189
"Creative, Media & Design",Operations & General Management,0.0041,0.1941,0.6374,3341
"Creative, Media & Design",Engineering & Manufacturing,0.0012,0.0587,0.6339,1010
"Retail, Hospitality & Events",Human Resources & Recruitment,0.0019,0.0169,0.6329,1575
"Banking, Finance & Insurance",Social Work & Community Services,0,0.0047,0.6315,35
"Creative, Media & Design",Public Sector & Administration,4e-04,0.0189,0.6292,326
Operations & General Management,"Creative, Media & Design",0.0035,0.0114,0.6277,2854
Cybersecurity & Compliance,Sales & Business Development,1e-04,0.0178,0.627,70
Senior Management & C-Suite,Supply Chain & Logistics,0,0.0496,0.6267,20
Healthcare - Nursing & Allied,Human Resources & Recruitment,7e-04,0.0168,0.6263,556
Education - Teaching,Operations & General Management,0.0186,0.1907,0.626,15219
Software & IT Development,Finance & Accounting,1e-04,0.0143,0.624,120
Human Resources & Recruitment,"Creative, Media & Design",3e-04,0.0112,0.6213,226
Sales & Business Development,Public Sector & Administration,5e-04,0.0187,0.6209,380
Engineering & Manufacturing,"Creative, Media & Design",0.0011,0.0112,0.6201,887
"Retail, Hospitality & Events",Education - Teaching,0.007,0.0616,0.6187,5725
Operations & General Management,Education - Teaching,0.0189,0.0615,0.6183,15463
ICT Management & Consulting,Construction & Architecture,1e-04,0.0147,0.6137,96
Healthcare - Clinical,Data Science & Analytics,0,0.0012,0.6128,6
Healthcare - Nursing & Allied,Operations & General Management,0.0076,0.1862,0.6113,6177
Customer Service & Support,Social Work & Community Services,1e-04,0.0045,0.6078,46
"Banking, Finance & Insurance","Environment, Safety & Sustainability",1e-04,0.01,0.607,75
Human Resources & Recruitment,Healthcare - Nursing & Allied,6e-04,0.0257,0.607,517
Education - Teaching,Marketing & Communications,0.0011,0.0109,0.6056,871
Project & Programme Management,Healthcare - Clinical,1e-04,0.0038,0.6051,49
Construction & Architecture,Sales & Business Development,4e-04,0.0172,0.605,342
Social Work & Community Services,Operations & General Management,0.0013,0.1841,0.6044,1024
"Creative, Media & Design",Human Resources & Recruitment,3e-04,0.0162,0.6036,278
IT Infrastructure & Networks,Customer Service & Support,0,0.0078,0.6035,20
"Creative, Media & Design",Customer Service & Support,2e-04,0.0078,0.6014,134
ICT Management & Consulting,Human Resources & Recruitment,1e-04,0.0161,0.6011,105
Public Sector & Administration,"Environment, Safety & Sustainability",3e-04,0.0099,0.5977,242
Supply Chain & Logistics,Healthcare - Clinical,3e-04,0.0037,0.5973,234
Construction & Architecture,Research & Academia,1e-04,0.0028,0.5961,56
Social Work & Community Services,"Banking, Finance & Insurance",0,0.0056,0.5926,31
ICT Management & Consulting,Engineering & Manufacturing,4e-04,0.0548,0.5924,358
Customer Service & Support,Software & IT Development,1e-04,0.0065,0.592,66
Operations & General Management,Research & Academia,9e-04,0.0028,0.5877,696
IT Infrastructure & Networks,Operations & General Management,6e-04,0.1789,0.5874,458
Research & Academia,Operations & General Management,8e-04,0.1784,0.5858,691
Customer Service & Support,Research & Academia,0,0.0027,0.5825,28
Project & Programme Management,"Retail, Hospitality & Events",9e-04,0.06,0.5824,774
Supply Chain & Logistics,Software & IT Development,5e-04,0.0064,0.5821,397
Customer Service & Support,Education - Teaching,7e-04,0.0578,0.5812,590
Finance & Accounting,Software & IT Development,1e-04,0.0064,0.5812,111
Healthcare - Clinical,Sales & Business Development,1e-04,0.0164,0.5798,79
Construction & Architecture,"Retail, Hospitality & Events",0.0015,0.0597,0.5794,1190
Social Work & Community Services,Marketing & Communications,1e-04,0.0104,0.5787,58
"Retail, Hospitality & Events",Construction & Architecture,0.0016,0.0138,0.5779,1288
Marketing & Communications,Education - Teaching,0.001,0.0574,0.5772,781
"Creative, Media & Design",Construction & Architecture,3e-04,0.0138,0.5771,238
Customer Service & Support,Healthcare - Nursing & Allied,3e-04,0.0244,0.5762,249
Healthcare - Nursing & Allied,Customer Service & Support,3e-04,0.0074,0.5705,245
Marketing & Communications,Finance & Accounting,2e-04,0.013,0.5694,177
Social Work & Community Services,Customer Service & Support,1e-04,0.0074,0.5693,41
Sales & Business Development,Construction & Architecture,3e-04,0.0136,0.5686,277
Human Resources & Recruitment,"Retail, Hospitality & Events",0.0014,0.0586,0.5686,1178
IT Infrastructure & Networks,Supply Chain & Logistics,1e-04,0.0449,0.5672,115
Education - Teaching,Customer Service & Support,7e-04,0.0073,0.5671,586
Healthcare - Nursing & Allied,"Retail, Hospitality & Events",0.0024,0.0582,0.5653,1932
Finance & Accounting,Healthcare - Clinical,1e-04,0.0035,0.5651,62
"Environment, Safety & Sustainability",Sales & Business Development,3e-04,0.016,0.5651,207
Marketing & Communications,Social Work & Community Services,1e-04,0.0042,0.5651,57
"Environment, Safety & Sustainability",Public Sector & Administration,3e-04,0.0169,0.563,219
Healthcare - Clinical,Supply Chain & Logistics,3e-04,0.0445,0.5623,214
Public Sector & Administration,"Creative, Media & Design",3e-04,0.0101,0.56,248
Education - Teaching,"Retail, Hospitality & Events",0.0056,0.0576,0.5594,4600
Healthcare - Nursing & Allied,Legal & Compliance,1e-04,0.0027,0.5523,90
Senior Management & C-Suite,Education - Teaching,0,0.0546,0.5487,22
Sales & Business Development,Healthcare - Clinical,1e-04,0.0034,0.5485,70
Engineering & Manufacturing,Healthcare - Clinical,3e-04,0.0034,0.5479,272
Finance & Accounting,Cybersecurity & Compliance,1e-04,0.0029,0.5438,50
Legal & Compliance,"Environment, Safety & Sustainability",0,0.009,0.5434,33
Sales & Business Development,"Creative, Media & Design",2e-04,0.0098,0.5412,199
"Creative, Media & Design",Sales & Business Development,3e-04,0.0153,0.5411,264
"Retail, Hospitality & Events",Engineering & Manufacturing,0.0057,0.05,0.5406,4654
Engineering & Manufacturing,"Retail, Hospitality & Events",0.0054,0.0554,0.5379,4382
Supply Chain & Logistics,Sales & Business Development,0.0012,0.0152,0.5375,951
Customer Service & Support,"Creative, Media & Design",1e-04,0.0097,0.5365,99
Legal & Compliance,Data Science & Analytics,0,0.0011,0.5347,4
Finance & Accounting,Project & Programme Management,2e-04,0.0094,0.5314,164
Sales & Business Development,Supply Chain & Logistics,0.001,0.0416,0.5249,845
Sales & Business Development,Cybersecurity & Compliance,1e-04,0.0028,0.5236,56
Sales & Business Development,"Environment, Safety & Sustainability",2e-04,0.0087,0.5235,176
"Retail, Hospitality & Events",Legal & Compliance,3e-04,0.0026,0.5232,239
Legal & Compliance,Education - Teaching,2e-04,0.052,0.5228,191
Construction & Architecture,ICT Management & Consulting,1e-04,0.0045,0.5221,90
Education - Teaching,Engineering & Manufacturing,0.0047,0.048,0.5187,3833
"Retail, Hospitality & Events",Data Science & Analytics,1e-04,0.0011,0.5172,98
Project & Programme Management,Healthcare - Nursing & Allied,3e-04,0.0218,0.5143,281
Legal & Compliance,Construction & Architecture,1e-04,0.0123,0.5114,45
Cybersecurity & Compliance,Finance & Accounting,1e-04,0.0117,0.511,46
Supply Chain & Logistics,Finance & Accounting,9e-04,0.0117,0.511,729
Healthcare - Clinical,Finance & Accounting,1e-04,0.0117,0.5098,56
Education - Teaching,Supply Chain & Logistics,0.0039,0.0404,0.5097,3222
Software & IT Development,Supply Chain & Logistics,4e-04,0.0403,0.5088,339
Operations & General Management,IT Infrastructure & Networks,5e-04,0.0017,0.5075,425
Research & Academia,Construction & Architecture,1e-04,0.0121,0.5064,47
Supply Chain & Logistics,Marketing & Communications,7e-04,0.0091,0.506,569
Healthcare - Clinical,Engineering & Manufacturing,3e-04,0.0468,0.5057,225
Supply Chain & Logistics,Education - Teaching,0.0038,0.0501,0.5038,3128
Customer Service & Support,"Environment, Safety & Sustainability",1e-04,0.0083,0.5038,85
Finance & Accounting,Sales & Business Development,3e-04,0.0142,0.5025,249
Operations & General Management,Software & IT Development,0.0017,0.0055,0.5024,1380
Finance & Accounting,Supply Chain & Logistics,8e-04,0.0396,0.5,692
Public Sector & Administration,Healthcare - Nursing & Allied,6e-04,0.0211,0.4986,517
Healthcare - Nursing & Allied,Public Sector & Administration,6e-04,0.015,0.4986,498
Legal & Compliance,Software & IT Development,0,0.0054,0.4984,20
Engineering & Manufacturing,Education - Teaching,0.0048,0.0495,0.4971,3911
"Environment, Safety & Sustainability","Banking, Finance & Insurance",1e-04,0.0046,0.4938,60
Social Work & Community Services,Software & IT Development,0,0.0054,0.4935,30
Cybersecurity & Compliance,Marketing & Communications,0,0.0089,0.4933,35
Marketing & Communications,Construction & Architecture,2e-04,0.0117,0.4879,159
Social Work & Community Services,IT Infrastructure & Networks,0,0.0016,0.4856,9
Education - Teaching,Construction & Architecture,0.0011,0.0116,0.4846,927
"Environment, Safety & Sustainability",Customer Service & Support,1e-04,0.0063,0.4843,81
Software & IT Development,Legal & Compliance,0,0.0024,0.484,20
Data Science & Analytics,"Retail, Hospitality & Events",1e-04,0.0498,0.4837,73
Software & IT Development,Operations & General Management,0.0015,0.1469,0.4824,1236
Software & IT Development,Social Work & Community Services,0,0.0036,0.4808,30
Customer Service & Support,Senior Management & C-Suite,0,3e-04,0.4803,3
"Retail, Hospitality & Events",Social Work & Community Services,4e-04,0.0035,0.4784,330
Supply Chain & Logistics,Healthcare - Nursing & Allied,0.0015,0.0202,0.4774,1262
Legal & Compliance,Healthcare - Clinical,0,0.003,0.4772,11
"Retail, Hospitality & Events",ICT Management & Consulting,5e-04,0.0041,0.4739,381
Sales & Business Development,Finance & Accounting,3e-04,0.0108,0.4735,220
Healthcare - Clinical,Project & Programme Management,0,0.0083,0.4713,40
Software & IT Development,Customer Service & Support,1e-04,0.0061,0.4683,51
Education - Teaching,ICT Management & Consulting,4e-04,0.004,0.468,323
Construction & Architecture,Data Science & Analytics,0,0.001,0.4677,19
Research & Academia,"Banking, Finance & Insurance",0,0.0044,0.4667,17
Education - Teaching,"Banking, Finance & Insurance",4e-04,0.0044,0.4662,350
Healthcare - Clinical,"Banking, Finance & Insurance",0,0.0044,0.4646,21
Construction & Architecture,Education - Teaching,0.0011,0.046,0.4628,918
Social Work & Community Services,"Retail, Hospitality & Events",3e-04,0.0473,0.4589,263
Marketing & Communications,Supply Chain & Logistics,6e-04,0.0363,0.4587,494
Healthcare - Nursing & Allied,Project & Programme Management,3e-04,0.008,0.4523,265
"Banking, Finance & Insurance",Education - Teaching,4e-04,0.044,0.4426,329
"Retail, Hospitality & Events",Finance & Accounting,0.0012,0.0101,0.4422,940
"Retail, Hospitality & Events",Research & Academia,2e-04,0.0021,0.4405,193
Construction & Architecture,Social Work & Community Services,1e-04,0.0033,0.4395,65
Engineering & Manufacturing,Sales & Business Development,0.0012,0.0124,0.4367,979
"Creative, Media & Design",Healthcare - Clinical,1e-04,0.0027,0.435,47
Data Science & Analytics,Healthcare - Clinical,0,0.0027,0.435,4
Supply Chain & Logistics,"Creative, Media & Design",6e-04,0.0079,0.4349,491
"Creative, Media & Design",Supply Chain & Logistics,7e-04,0.0344,0.4343,592
ICT Management & Consulting,Education - Teaching,3e-04,0.0429,0.4311,280
Education - Teaching,Senior Management & C-Suite,0,3e-04,0.4297,21
Healthcare - Nursing & Allied,Supply Chain & Logistics,0.0014,0.0338,0.4274,1123
Healthcare - Clinical,"Creative, Media & Design",0,0.0077,0.4256,37
Research & Academia,Senior Management & C-Suite,0,3e-04,0.4218,1
Education - Teaching,IT Infrastructure & Networks,1e-04,0.0014,0.4212,112
Social Work & Community Services,Construction & Architecture,1e-04,0.0101,0.4201,56
Education - Teaching,Software & IT Development,4e-04,0.0046,0.4184,365
Legal & Compliance,Healthcare - Nursing & Allied,1e-04,0.0177,0.418,65
Cybersecurity & Compliance,Senior Management & C-Suite,0,3e-04,0.4148,1
Construction & Architecture,Marketing & Communications,2e-04,0.0075,0.4147,149
Software & IT Development,Education - Teaching,4e-04,0.0412,0.4146,347
Engineering & Manufacturing,Senior Management & C-Suite,0,3e-04,0.4131,20
Construction & Architecture,"Banking, Finance & Insurance",1e-04,0.0039,0.4106,77
Supply Chain & Logistics,Research & Academia,1e-04,0.0019,0.4081,120
Construction & Architecture,Healthcare - Clinical,1e-04,0.0026,0.4075,51
Legal & Compliance,"Creative, Media & Design",0,0.0074,0.4065,27
Data Science & Analytics,Healthcare - Nursing & Allied,0,0.0171,0.4029,25
Legal & Compliance,"Retail, Hospitality & Events",2e-04,0.0414,0.4018,152
Engineering & Manufacturing,Legal & Compliance,2e-04,0.002,0.4016,156
Finance & Accounting,Social Work & Community Services,1e-04,0.003,0.4011,52
Healthcare - Clinical,Construction & Architecture,1e-04,0.0096,0.3994,46
Marketing & Communications,Healthcare - Clinical,0,0.0025,0.3983,34
Data Science & Analytics,Engineering & Manufacturing,1e-04,0.0369,0.3982,54
ICT Management & Consulting,"Retail, Hospitality & Events",3e-04,0.0404,0.3926,264
Construction & Architecture,Legal & Compliance,0,0.0019,0.388,38
"Retail, Hospitality & Events",Software & IT Development,5e-04,0.0042,0.3857,392
Engineering & Manufacturing,Data Science & Analytics,1e-04,8e-04,0.3848,62
"Banking, Finance & Insurance",Engineering & Manufacturing,3e-04,0.0356,0.3846,266
Sales & Business Development,Engineering & Manufacturing,9e-04,0.0356,0.3842,723
"Banking, Finance & Insurance",Healthcare - Clinical,0,0.0024,0.3838,18
Healthcare - Clinical,Marketing & Communications,0,0.0069,0.3811,33
Research & Academia,Customer Service & Support,0,0.0049,0.379,19
Engineering & Manufacturing,"Banking, Finance & Insurance",3e-04,0.0036,0.3778,281
Legal & Compliance,Engineering & Manufacturing,2e-04,0.0349,0.3766,128
Senior Management & C-Suite,Engineering & Manufacturing,0,0.0347,0.3753,14
Construction & Architecture,Public Sector & Administration,3e-04,0.0113,0.3748,225
Healthcare - Clinical,IT Infrastructure & Networks,0,0.0012,0.3747,6
Education - Teaching,Finance & Accounting,8e-04,0.0086,0.3743,683
"Banking, Finance & Insurance",Construction & Architecture,1e-04,0.009,0.3742,67
Healthcare - Nursing & Allied,Data Science & Analytics,0,8e-04,0.3699,25
"Banking, Finance & Insurance",Research & Academia,0,0.0017,0.3693,13
Finance & Accounting,Education - Teaching,8e-04,0.0367,0.3692,642
Finance & Accounting,"Retail, Hospitality & Events",8e-04,0.0379,0.3677,662
ICT Management & Consulting,Healthcare - Clinical,0,0.0023,0.3661,15
Social Work & Community Services,Finance & Accounting,1e-04,0.0083,0.3618,46
Engineering & Manufacturing,Customer Service & Support,5e-04,0.0047,0.3614,370
Public Sector & Administration,Construction & Architecture,3e-04,0.0087,0.3613,212
Construction & Architecture,Healthcare - Nursing & Allied,4e-04,0.0151,0.3576,302
"Banking, Finance & Insurance","Creative, Media & Design",1e-04,0.0064,0.3552,48
"Retail, Hospitality & Events",IT Infrastructure & Networks,1e-04,0.0012,0.3518,109
Engineering & Manufacturing,Healthcare - Nursing & Allied,0.0014,0.0149,0.3508,1175
Research & Academia,Finance & Accounting,0,0.008,0.3502,31
Social Work & Community Services,Supply Chain & Logistics,2e-04,0.0277,0.3496,154
Research & Academia,"Retail, Hospitality & Events",2e-04,0.0359,0.3484,139
Engineering & Manufacturing,Public Sector & Administration,0.001,0.0104,0.344,819
"Creative, Media & Design",Legal & Compliance,0,0.0017,0.343,29
Healthcare - Clinical,Senior Management & C-Suite,0,2e-04,0.3399,1
"Creative, Media & Design","Banking, Finance & Insurance",1e-04,0.0032,0.3398,55
Education - Teaching,Sales & Business Development,9e-04,0.0096,0.3389,767
Healthcare - Nursing & Allied,Engineering & Manufacturing,0.0013,0.031,0.3347,1028
Senior Management & C-Suite,Social Work & Community Services,0,0.0025,0.3345,1
Construction & Architecture,Customer Service & Support,1e-04,0.0043,0.3332,86
"Environment, Safety & Sustainability",Finance & Accounting,1e-04,0.0076,0.3318,98
Supply Chain & Logistics,Social Work & Community Services,2e-04,0.0024,0.3283,152
Software & IT Development,"Retail, Hospitality & Events",3e-04,0.0338,0.3277,284
IT Infrastructure & Networks,Education - Teaching,1e-04,0.0324,0.3259,83
Research & Academia,Supply Chain & Logistics,1e-04,0.0253,0.3195,98
Public Sector & Administration,Engineering & Manufacturing,9e-04,0.0295,0.3186,722
Healthcare - Nursing & Allied,Construction & Architecture,3e-04,0.0076,0.3182,253
IT Infrastructure & Networks,Social Work & Community Services,0,0.0023,0.316,6
Marketing & Communications,Engineering & Manufacturing,5e-04,0.0291,0.3145,396
Sales & Business Development,Education - Teaching,8e-04,0.031,0.312,631
Customer Service & Support,Construction & Architecture,1e-04,0.0074,0.3068,75
Customer Service & Support,Engineering & Manufacturing,4e-04,0.028,0.3028,286
Engineering & Manufacturing,Marketing & Communications,5e-04,0.0054,0.3018,430
Finance & Accounting,"Environment, Safety & Sustainability",1e-04,0.005,0.301,87
IT Infrastructure & Networks,"Retail, Hospitality & Events",1e-04,0.0305,0.2958,78
Social Work & Community Services,Senior Management & C-Suite,0,2e-04,0.2936,1
Healthcare - Nursing & Allied,Finance & Accounting,3e-04,0.0065,0.2822,214
Finance & Accounting,Healthcare - Nursing & Allied,2e-04,0.0117,0.2756,204
Healthcare - Nursing & Allied,"Banking, Finance & Insurance",1e-04,0.0025,0.2692,84
Finance & Accounting,Research & Academia,0,0.0013,0.2672,22
Healthcare - Clinical,Software & IT Development,0,0.0029,0.2666,14
"Banking, Finance & Insurance",Healthcare - Nursing & Allied,1e-04,0.011,0.2591,82
"Creative, Media & Design",Finance & Accounting,1e-04,0.0057,0.2491,98
Sales & Business Development,Social Work & Community Services,0,0.0018,0.2454,37
Senior Management & C-Suite,Healthcare - Nursing & Allied,0,0.0099,0.2344,4
Healthcare - Nursing & Allied,ICT Management & Consulting,1e-04,0.0019,0.2196,63
Healthcare - Clinical,ICT Management & Consulting,0,0.0019,0.2166,9
Finance & Accounting,"Creative, Media & Design",1e-04,0.0039,0.2151,68
Social Work & Community Services,Engineering & Manufacturing,1e-04,0.0196,0.2117,109
ICT Management & Consulting,Healthcare - Nursing & Allied,1e-04,0.0089,0.2098,58
Social Work & Community Services,Sales & Business Development,0,0.0059,0.2092,33
Finance & Accounting,Construction & Architecture,1e-04,0.005,0.2077,87
Senior Management & C-Suite,Construction & Architecture,0,0.005,0.2071,2
Engineering & Manufacturing,Social Work & Community Services,1e-04,0.0015,0.2063,121
Engineering & Manufacturing,Finance & Accounting,5e-04,0.0047,0.2047,370
Construction & Architecture,Finance & Accounting,1e-04,0.0047,0.2041,93
Healthcare - Nursing & Allied,Senior Management & C-Suite,0,1e-04,0.1969,4
Senior Management & C-Suite,Customer Service & Support,0,0.0025,0.1917,1
Software & IT Development,Healthcare - Clinical,0,0.0012,0.1894,10
Healthcare - Nursing & Allied,Sales & Business Development,2e-04,0.0053,0.1871,176
IT Infrastructure & Networks,Healthcare - Clinical,0,0.0012,0.1867,3
Marketing & Communications,Healthcare - Nursing & Allied,1e-04,0.0075,0.1771,102
Finance & Accounting,Engineering & Manufacturing,3e-04,0.0159,0.1718,278
Healthcare - Nursing & Allied,Marketing & Communications,1e-04,0.0031,0.1706,102
Software & IT Development,Healthcare - Nursing & Allied,1e-04,0.0071,0.1684,60
Healthcare - Nursing & Allied,Software & IT Development,1e-04,0.0018,0.1683,61
Sales & Business Development,Healthcare - Nursing & Allied,1e-04,0.0059,0.1382,119
Healthcare - Nursing & Allied,IT Infrastructure & Networks,0,4e-04,0.1176,13
IT Infrastructure & Networks,Healthcare - Nursing & Allied,0,0.0043,0.1015,11
