from,to,support,confidence,lift,count
"Banking, Finance & Insurance",Sales & Business Development,5e-04,0.0593,2.0913,443
"Banking, Finance & Insurance",Public Sector & Administration,6e-04,0.0625,2.0761,467
Senior Management & C-Suite,Marketing & Communications,0,0.0372,2.0658,15
ICT Management & Consulting,Project & Programme Management,3e-04,0.0365,2.0646,238
Construction & Architecture,IT Infrastructure & Networks,2e-04,0.0066,1.9721,131
Data Science & Analytics,Project & Programme Management,1e-04,0.0341,1.9327,50
"Creative, Media & Design",Marketing & Communications,7e-04,0.0346,1.922,596
Cybersecurity & Compliance,Social Work & Community Services,1e-04,0.014,1.883,55
Sales & Business Development,"Banking, Finance & Insurance",4e-04,0.0174,1.8464,353
Public Sector & Administration,Customer Service & Support,7e-04,0.0236,1.8268,579
Software & IT Development,Sales & Business Development,5e-04,0.0515,1.8155,433
IT Infrastructure & Networks,Construction & Architecture,1e-04,0.0434,1.8094,111
Project & Programme Management,ICT Management & Consulting,2e-04,0.0153,1.7753,198
Marketing & Communications,"Creative, Media & Design",5e-04,0.0319,1.7643,434
Data Science & Analytics,Sales & Business Development,1e-04,0.0498,1.7577,73
Customer Service & Support,Public Sector & Administration,7e-04,0.0528,1.7548,539
Software & IT Development,Marketing & Communications,3e-04,0.0313,1.735,263
Research & Academia,Project & Programme Management,1e-04,0.0302,1.7107,117
Legal & Compliance,Human Resources & Recruitment,2e-04,0.0458,1.7097,168
Human Resources & Recruitment,Senior Management & C-Suite,0,0.001,1.7057,21
Social Work & Community Services,Healthcare - Clinical,1e-04,0.0106,1.6896,59
Project & Programme Management,Marketing & Communications,5e-04,0.0302,1.6778,390
IT Infrastructure & Networks,Cybersecurity & Compliance,0,0.0086,1.6335,22
"Environment, Safety & Sustainability",Cybersecurity & Compliance,1e-04,0.0086,1.6329,111
Finance & Accounting,Legal & Compliance,2e-04,0.008,1.6307,140
Cybersecurity & Compliance,"Banking, Finance & Insurance",1e-04,0.0152,1.6201,60
Legal & Compliance,Research & Academia,0,0.0076,1.6185,28
"Environment, Safety & Sustainability",IT Infrastructure & Networks,1e-04,0.0053,1.6029,69
"Banking, Finance & Insurance",Cybersecurity & Compliance,1e-04,0.0084,1.6026,63
ICT Management & Consulting,Cybersecurity & Compliance,1e-04,0.0084,1.6014,55
Human Resources & Recruitment,Construction & Architecture,9e-04,0.0383,1.5978,770
Project & Programme Management,Software & IT Development,3e-04,0.0174,1.5889,224
Education - Teaching,Social Work & Community Services,0.0011,0.0117,1.5775,934
Research & Academia,Legal & Compliance,0,0.0077,1.5769,30
Social Work & Community Services,Education - Teaching,0.0011,0.1562,1.5702,869
Finance & Accounting,Human Resources & Recruitment,9e-04,0.0418,1.5608,730
Research & Academia,Healthcare - Nursing & Allied,3e-04,0.0658,1.5546,255
Healthcare - Nursing & Allied,Research & Academia,3e-04,0.0073,1.5418,241
Marketing & Communications,Project & Programme Management,5e-04,0.0271,1.5365,369
"Banking, Finance & Insurance",ICT Management & Consulting,1e-04,0.0132,1.5326,99
Project & Programme Management,Data Science & Analytics,0,0.0031,1.5219,40
Healthcare - Clinical,Social Work & Community Services,1e-04,0.0112,1.5149,54
"Banking, Finance & Insurance",Data Science & Analytics,0,0.0031,1.5109,23
Customer Service & Support,Data Science & Analytics,0,0.003,1.4913,31
